"Ano_Ref","id_mun","ES001","POP_URB","ES006","ES028","FN001","FN003","FN006","FN013","FN024","FN033","FN043","FN048","FN053","FN058"
2016,2928406,3360,16462,86.45,38.78,1609785.83,127074.93,1899209.39,259816.71,0,46608.46,0,NA,NA,NA
2014,2933208,5006,39500,312.13,139.32,9848945.63,785352.24,10537361.09,1337412.18,18630462.34,20945541.6,NA,NA,NA,NA
2016,2202133,200,1634,0,20,301396.23,100,304076.02,11256.74,0,0,0,0,0,0
2009,2919207,45657,156936,2693.04,121.04,23570051.98,2085241.31,23268574.31,1945798.8,NA,NA,0,0,0,0
2011,2924652,3820,5813,0,NA,518645,0,548759,NA,NA,NA,0,0,NA,NA
2008,2928406,2550,14073,196,2.24,558041.3,43239.97,744323.55,145282.24,0,12908.61,NA,NA,NA,NA
2008,2101202,7272,75891,387,35,4444966,129700,4149175,1104646,0,244602,NA,NA,NA,NA
2010,2202901,1935,15693,0,124.61,1663385.74,157623.71,142553.23,284127.35,2350,4700,0,0,0,0
2006,2906303,7827,27608,166,79,1506399.7,213238.61,1670094.08,132629.81,0,0,NA,NA,NA,NA
2006,2910057,16354,52430,816,160,3365881.77,707895.89,2873320.41,1879608.59,0,0,NA,NA,NA,NA
2002,2910057,8182,45460,346,NA,1367467.48,188791.31,1241986.69,NA,NA,NA,NA,NA,NA,NA
2003,2111300,449402,889087,0,640.4,59834794,20723892,49879000,7140520,1536799,9702494,NA,NA,NA,NA
2004,2207009,9902,20121,0,NA,1384758,258567,1245767.28,216345,168021.33,277901.36,NA,NA,NA,NA
2001,2933208,3172,28712,14.6,NA,NA,NA,1926607.76,NA,NA,NA,NA,NA,NA,NA
2022,2907509,100,NA,0,0,10491769.77,0,11530377.84,3259475.78,0,280468.1,0,0,0,0
2022,2919207,79561,NA,8050.16,947.77,86739633.96,12384662.58,80759734.48,7192794.88,46028383.14,68830398.05,0,0,0,0
2022,2931202,7200,NA,0,0,2733069.22,0,2733069.22,314262.32,0,19151,0,0,0,0
2022,2205706,12,NA,1,5.47,5368891.38,23194.42,5349169.45,492981.4,0,82304.55,0,0,0,0
2022,2207702,66612,NA,2256.32,9493.7,48248558.01,10800896.57,47015533.94,9233433.79,557276.12,690583.34,0,0,0,0
2020,2900603,2572,2572,0,NA,577838.29,0,580652.34,28476.95,0,83262.57,0,0,0,0
2020,2900702,53721,133111,1378.7,NA,33337477,2424514,35996604,2506870,4342640,6346729,0,0,0,0
2021,2902807,10115,9918,0,0,188972.02,0,194759.68,592354.98,10,5802.12,0,0,0,0
2017,2903201,105071,141939,3766.36,3333.67,50906082.04,15696807.69,45330749.65,1652346.83,2366908.07,5138381.53,NA,NA,0,0
2018,2903904,47945,46581,1428,625,10036007,1598720,10217831,1159757,14960,426890,0,0,0,0
2017,2907509,6742,47260,192,0,7181157.43,0,8148873.16,1802407.67,0,2138,299620.77,378118.77,0,0
2021,2910800,345537,572524,16009,5029.38,194437810.29,61209913.84,181545870.28,16496539.28,2382750.38,141014709.87,0,0,0,0
2020,2912707,10302,6383,0,1,2726246.31,10000,2715685.26,142271.97,0,191182.26,2e+05,330000,0,NA
2019,2916807,18179,16299,0,210,3545349.36,0,3153190.99,9287.09,0,95398.84,0,0,0,0
2020,2918704,2026,1992,0,NA,525593.35,0,532533.32,280250.57,0,113544.26,0,0,0,0
2021,2919306,4808,8981,190.06,2.03,3434177.57,1176749.7,3508442.3,194314.78,159000.62,265126.94,0,0,0,0
2021,2922250,681,1434,42.23,16.97,1343748.53,182999.56,1434175.65,348437.66,740.21,95761.94,0,0,0,0
2018,2923001,1694,37347,91.51,24,4973928.64,84553.07,4911522.32,354969.02,0,106025.36,NA,NA,0,0
2021,2924108,408,1856,0,0,690624.3,0,691631.14,86174.69,1264.63,63127.74,0,0,0,0
2018,2927408,2322603,2856546,143251.39,39641,1230733921.81,521953485.69,1032804847.13,65658214.72,36454485.55,142370581.56,NA,NA,0,3856871.03
2019,2927606,5231,5295,153.82,9.69,2188786.22,700545.56,2163262.54,763898.44,0,0,NA,NA,NA,NA
2021,2933109,2000,6181,0,0,1337896.29,0,1364952.94,149507.07,609.58,143116.22,20000,35000,0,0
2021,2933158,6878,8215,276.3,22.97,3094967.02,1206990.45,2880149.78,787611.92,166849.65,290020.6,0,0,0,0
2018,2200400,2175,28529,46.3,5.53,3205300.13,144560.58,3731626.92,1049386.21,0,2743.89,0,0,0,0
2021,2205508,1740,22983,57.41,10.53,4636076.86,137526.2,4895799.92,1314793.41,0,75328.82,0,0,0,0
2020,2205706,16817,13550,0,1000,4040898.2,0,4096892.17,487074.57,0,21521.63,0,0,0,0
2020,2210805,550,7560,30.7,0,1632038.62,0,1764262.78,339660.62,0,9700.36,0,0,0,0
2015,2904852,623,5087,20.42,0.12,946802.53,58583.15,1034902.89,157996.77,80995.87,252108.41,NA,NA,0,419997.74
2014,2905800,1797,16125,49.06,8.71,2424933.31,55114.95,2323870.09,105479.99,130042.74,854165.69,NA,NA,NA,NA
2014,2907301,667,16789,19,0,2600655.61,21769.59,2728109.49,263307,0,1068194.74,NA,NA,NA,NA
2014,2913903,2530,43111,81.43,36.53,6930204.3,203408.21,7236249.09,253516.27,1098607.04,1411920.51,NA,NA,NA,NA
