"Ano_Ref","id_mun","AG001","POP_URB","AG006","AG028","FN001","FN002","FN006","FN013","FN023","FN033","FN042","FN048","FN052","FN058"
2022,2207702,158237,NA,13500,11371.9,48248558.01,37447661.44,47015533.94,9233433.79,125978,690583.34,0,0,0,0
2020,2900603,2572,2572,108.2,86.25,577838.29,577838.29,580652.34,28476.95,76090.45,83262.57,0,0,0,0
2020,2900702,147141,133111,19166,NA,33337477,30912963,35996604,2506870,1596411,6346729,0,0,0,0
2021,2902807,20198,9918,1546.15,28.25,188972.02,188972.02,194759.68,592354.98,3914.77,5802.12,0,0,0,0
2017,2903201,157638,141939,9240.87,4455.48,50906082.04,35209274.35,45330749.65,1652346.83,2074070.02,5138381.53,NA,NA,0,0
2018,2903904,68609,46581,9000,3950,10036007,8437287,10217831,1159757,411930,426890,0,0,0,0
2017,2907509,53350,47260,5270.39,3143.49,7181157.43,7181157.43,8148873.16,1802407.67,2138,2138,2138,378118.77,0,0
2021,2910800,560957,572524,40394.29,50661.9,194437810.29,133227896.45,181545870.28,16496539.28,129534317.03,141014709.87,0,0,0,0
2020,2912707,13772,6383,711.72,203.7,2726246.31,2716246.31,2715685.26,142271.97,152803.5,191182.26,40000,330000,1400000,NA
2019,2916807,15387,16299,781.52,17.73,3545349.36,3545349.36,3153190.99,9287.09,95398.84,95398.84,0,0,0,0
2020,2918704,1844,1992,93.11,298.55,525593.35,525593.35,532533.32,280250.57,105713.06,113544.26,0,0,0,0
2021,2919306,8977,8981,516.01,72.25,3434177.57,2257427.87,3508442.3,194314.78,85821.63,265126.94,0,0,0,0
2021,2922250,4312,1434,295.1,645.69,1343748.53,1160748.97,1434175.65,348437.66,85710.19,95761.94,0,0,0,0
2018,2923001,27056,37347,1229.72,776,4973928.64,4889375.57,4911522.32,354969.02,106025.36,106025.36,NA,NA,0,0
2021,2924108,1850,1856,183.95,175.84,690624.3,690624.3,691631.14,86174.69,55179.65,63127.74,0,0,0,0
2018,2927408,2600377,2856546,282499.37,169626,1230733921.81,708780436.12,1032804847.13,65658214.72,64929613.84,142370581.56,NA,NA,3856871.03,3856871.03
2019,2927606,9003,5295,0,1928.05,2188786.22,1488240.66,2163262.54,763898.44,0,0,NA,NA,NA,NA
2021,2933109,7496,6181,0,0,1337896.29,1337896.29,1364952.94,149507.07,130404.4,143116.22,15000,35000,0,0
2021,2933158,8748,8215,459.54,566.61,3094967.02,1887976.57,2880149.78,787611.92,99483.83,290020.6,0,0,0,0
2018,2200400,21823,28529,1630.82,1399.12,3205300.13,3060739.55,3731626.92,1049386.21,0,2743.89,0,0,0,0
2021,2205508,28445,22983,2000.84,1421.51,4636076.86,4498550.66,4895799.92,1314793.41,0,75328.82,0,0,0,0
2020,2205706,26504,13550,4662.95,725.32,4040898.2,4040898.2,4096892.17,487074.57,0,21521.63,0,0,0,0
2020,2210805,9408,7560,542.84,433.24,1632038.62,1632038.62,1764262.78,339660.62,0,9700.36,0,0,0,0
2015,2904852,9126,5087,297.89,387.75,946802.53,888219.38,1034902.89,157996.77,71624.95,252108.41,NA,NA,419997.74,419997.74
2014,2905800,19934,16125,979.75,615.4,2424933.31,2369818.36,2323870.09,105479.99,637809.45,854165.69,NA,NA,NA,NA
2014,2907301,22678,16789,1074.33,2022.87,2600655.61,2578886.02,2728109.49,263307,960253.59,1068194.74,NA,NA,NA,NA
2014,2913903,47388,43111,2287.6,1221.57,6930204.3,6726796.09,7236249.09,253516.27,170638.81,1411920.51,NA,NA,NA,NA
2012,2916104,20994,20994,1763.87,6010.16,3302849.03,2542612.93,3228140.17,1377308.8,NA,NA,NA,NA,NA,NA
2012,2919306,8644,8208,453.25,199.02,1752021.41,1147018.55,1721860.93,56843.65,NA,NA,NA,NA,NA,NA
2014,2919926,19985,19385,2250.32,1916.33,4883427.22,3795097.09,4881234.13,322263.53,1350525.59,1545049.82,NA,NA,NA,NA
2016,2927606,9470,5623,0,54.06,1753217.61,1271385.26,1691938.48,201356.11,419024.12,856527.8,NA,NA,190983.74,190983.74
2012,2928604,51717,44904,2573.89,1797.89,6189029.58,5049066.7,6313252.47,302754.2,NA,NA,NA,NA,NA,NA
2012,2929008,8450,9305,358.1,648.63,1336600.45,876723.01,1320898.9,461691.75,NA,NA,NA,NA,NA,NA
2015,2929503,31196,35727,1842.23,1398.2,4114015.64,4093516.94,4117771.55,703238.83,16902.22,45825.94,NA,NA,0,0
2015,2103307,93346,82574,6931.15,8002,7431193.97,6926162.99,8052368.45,2760000,89413.31,867831.94,0,0,0,0
2015,2107357,12643,12643,400,30,90000,60000,65000,40000,NA,NA,20000,70000,0,0
2009,2904605,51946,44827,2982.97,2747.87,5163794.42,5113338.32,5346415.69,462371.98,4256000,NA,0,0,0,0
2011,2906501,75704,76442,5543.04,1827.43,48712493,47797209,54333834,957486,0,2748000,NA,NA,NA,NA
2011,2909901,28951,13819,1550.12,295,1194510,1077199.8,1214645,215430,25000,47320,0,0,0,0
2008,2910800,429643,524681,30007.46,2025.36,46449646.34,33442112.9,49266191.94,6014516.21,150000,5522000,NA,NA,NA,NA
2010,2913002,3443,3437,112.54,348.93,302051,238229,316856,110267,NA,NA,NA,NA,NA,NA
2007,2913507,14091,14091,712.64,424.07,829169.64,788339.98,870689.84,89999.4,0,0,NA,NA,NA,NA
2011,2914802,201067,200247,18662.55,15040,28605833.85,20474153.76,24801798.07,4607088.92,218168.55,714693.65,0,0,0,0
2011,2915403,6391,5782,299.56,100.56,485004,472825,564661,46674,NA,NA,NA,NA,NA,NA
2010,2917003,14548,9699,629.87,1008.48,1026813,1015695,1100388,252059,NA,NA,NA,NA,NA,NA
2007,2921005,33265,26996,3377.92,1272.25,6063502.75,4180978.92,5653700.76,1238977.02,261000,261000,NA,NA,NA,NA
2010,2932507,13056,15030,762.92,382.35,1132128,1094908,1296473,85393,NA,NA,NA,NA,NA,NA
2009,2103000,148072,112237,19599,NA,6644583,6644583,6644583,2777261,474547,NA,NA,NA,NA,NA
2008,2111300,813445,945231,125838,76030.13,104308102.46,72965042.95,89516758.55,25799872.07,7038798.42,10552342.58,NA,NA,NA,NA
2003,2903904,41440,38903,2772,1008,1987014,1845600,1987074,243493,272568,333769,NA,NA,NA,NA
2006,2904902,19662,16646,1141.08,105.72,1756478.98,1674968.66,1639245.26,113352.87,0,0,NA,NA,NA,NA
2005,2914802,204795,198126,16289.4,20498,16598491.32,11784618.46,9263825.42,4258966.9,180632.81,225912.57,NA,NA,NA,NA
2003,2918001,135330,130959,7780.2,916,10738853.41,6978062.62,8805806,NA,0,0,NA,NA,NA,NA
2003,2927408,2624239,2555377,278437.5,180969,NA,177337402.93,208219970,NA,10932805,76977962,NA,NA,NA,NA
2005,2928604,50221,46535,2555.47,3380,2791766.52,2327411.62,3037922.36,233979.7,0,364000,NA,NA,NA,NA
2004,2202901,12277,13171,518,587,842125,775851,782852.14,171028,107624.54,122343.56,NA,NA,NA,NA
1996,2914802,219302,177944,14417.5,NA,9758732.12,7229268.75,9772585.74,1545000,8e+05,NA,NA,NA,NA,NA
2001,2930501,40291,39598,2838.39,NA,1712544,1687620,1647734.06,NA,NA,NA,NA,NA,NA,NA
2022,2901007,26476,NA,1493.16,1639.04,8588512.78,8522273.63,8736607.5,866124.84,900100.03,1653541.01,0,0,0,0
2022,2905800,17054,NA,1004.09,544.98,4512115.64,4267384.86,4710810.64,291555.58,274444.63,357986.37,0,0,0,0
2022,2911402,9874,NA,616.26,502.6,2797126.47,2364910.34,2917278.15,301875.58,250225.7,406327.07,0,0,0,0
2022,2203909,61316,NA,10200,4236.06,19439022.73,18395576.23,20023501.35,3316219.34,128000,436089.94,0,0,0,0
